row_bin_idx col_bin_idx row_bin_left_edge row_bin_right_edge col_bin_left_edge col_bin_right_edge A1 B1 C1 D1 E1 F1 G1 H1 I1 J1 K1 L1 M1 N1 O1 P1 A2 B2 C2 D2 E2 F2 G2 H2 I2 J2 K2 L2 M2 N2 O2 P2 A3 B3 C3 D3 E3 F3 G3 H3 I3 J3 K3 L3 M3 N3 O3 P3 A4 B4 C4 D4 E4 F4 G4 H4 I4 J4 K4 L4 M4 N4 O4 P4
0 7 -0.5 -0.4 0.2 0.3 0.000342 0.000654 0.000960 0.001033 0.000896 0.000589 0.000477 0.000404 0.000631 0.001606 0.004049 0.009267 0.008771 0.003410 0.001524 0.000768 0.001118 0.003388 0.016986 0.088093 0.106863 0.037836 0.005835 0.001505 0.001015 0.004480 0.048214 0.122409 0.118436 0.092164 0.009311 0.001628 0.000586 0.002181 0.017080 0.050290 0.095470 0.063080 0.005655 0.000943 0.000341 0.000755 0.002283 0.009456 0.032764 0.008177 0.001738 0.000551 0.000221 0.000317 0.000684 0.002135 0.003590 0.002022 0.000934 0.000473 0.000151 0.000219 0.000378 0.000629 0.000872 0.000718 0.000347 0.000300
0 8 -0.5 -0.4 0.3 0.4 0.000316 0.000614 0.000932 0.001037 0.000925 0.000600 0.000483 0.000423 0.000582 0.001455 0.003676 0.008630 0.009256 0.003720 0.001591 0.000844 0.001042 0.002924 0.013997 0.079011 0.110761 0.045393 0.006531 0.001737 0.000900 0.003761 0.036551 0.124974 0.112912 0.105456 0.011662 0.001905 0.000538 0.001818 0.013766 0.047801 0.091200 0.071996 0.007188 0.001087 0.000306 0.000682 0.002014 0.007863 0.032510 0.009962 0.002023 0.000610 0.000207 0.000297 0.000618 0.001889 0.003675 0.002194 0.001002 0.000526 0.000154 0.000198 0.000361 0.000604 0.000862 0.000774 0.000362 0.000310
0 9 -0.5 -0.4 0.4 0.5 0.000308 0.000582 0.000912 0.001042 0.000960 0.000604 0.000485 0.000454 0.000547 0.001336 0.003348 0.008128 0.009767 0.004067 0.001652 0.000928 0.000975 0.002576 0.011877 0.071132 0.113676 0.052457 0.007341 0.001971 0.000810 0.003236 0.028456 0.125925 0.108356 0.115211 0.014288 0.002184 0.000502 0.001546 0.011195 0.044865 0.087155 0.079231 0.008963 0.001242 0.000290 0.000615 0.001789 0.006697 0.031277 0.012022 0.002331 0.000665 0.000197 0.000288 0.000593 0.001676 0.003685 0.002345 0.001080 0.000559 0.000140 0.000184 0.000353 0.000575 0.000840 0.000818 0.000369 0.000320
0 10 -0.5 -0.4 0.5 0.6 0.000000 0.000577 0.000887 0.001029 0.000971 0.000658 0.000505 0.000460 0.000000 0.001243 0.003112 0.007684 0.010162 0.004423 0.001709 0.000978 0.000000 0.002323 0.010259 0.064026 0.115220 0.058950 0.008208 0.002208 0.000000 0.002822 0.021635 0.125275 0.105470 0.123079 0.017892 0.002476 0.000000 0.001371 0.009160 0.042036 0.083287 0.084806 0.011399 0.001400 0.000000 0.000589 0.001607 0.005869 0.029546 0.014334 0.002639 0.000706 0.000000 0.000300 0.000525 0.001505 0.003664 0.002476 0.001144 0.000552 0.000000 0.000192 0.000330 0.000544 0.000808 0.000855 0.000397 0.000309
1 -1 -0.4 -0.3 -0.6 -0.5 0.000539 0.000837 0.000893 0.000824 0.000545 0.000451 0.000437 0.000000 0.001225 0.002899 0.006432 0.007252 0.003294 0.001432 0.000847 0.000000 0.002483 0.010548 0.063158 0.104117 0.044606 0.006597 0.001863 0.000000 0.003281 0.027726 0.126314 0.112096 0.113387 0.014194 0.002271 0.000000 0.001675 0.012934 0.052497 0.086488 0.088361 0.010032 0.001357 0.000000 0.000657 0.002101 0.007868 0.038688 0.014433 0.002626 0.000696 0.000000 0.000303 0.000598 0.001866 0.004309 0.002718 0.001176 0.000558 0.000000 0.000191 0.000359 0.000633 0.000930 0.000877 0.000414 0.000342 0.000000
1 0 -0.4 -0.3 -0.5 -0.4 0.000539 0.000807 0.000895 0.000837 0.000575 0.000465 0.000430 0.000242 0.001157 0.002709 0.006196 0.007517 0.003564 0.001486 0.000896 0.000419 0.002245 0.009288 0.057049 0.106214 0.049889 0.007332 0.002059 0.000634 0.002882 0.021404 0.125090 0.109171 0.121269 0.017424 0.002557 0.000732 0.001485 0.010502 0.049889 0.082998 0.093666 0.012593 0.001508 0.000512 0.000623 0.001885 0.006966 0.036662 0.016952 0.002951 0.000740 0.000337 0.000317 0.000554 0.001662 0.004273 0.002856 0.001256 0.000571 0.000281 0.000214 0.000337 0.000589 0.000897 0.000928 0.000427 0.000332 0.000267
1 1 -0.4 -0.3 -0.4 -0.3 0.000509 0.000789 0.000887 0.000859 0.000594 0.000476 0.000439 0.000258 0.001041 0.002490 0.005823 0.007837 0.003947 0.001573 0.000975 0.000436 0.001962 0.007956 0.048981 0.108055 0.056941 0.008533 0.002373 0.000708 0.002463 0.016149 0.121097 0.107057 0.127518 0.022382 0.003040 0.000805 0.001269 0.008303 0.045747 0.078845 0.099349 0.016709 0.001812 0.000540 0.000571 0.001645 0.005913 0.032871 0.020985 0.003508 0.000862 0.000347 0.000305 0.000516 0.001478 0.004141 0.003057 0.001370 0.000615 0.000303 0.000213 0.000321 0.000559 0.000870 0.000962 0.000464 0.000330 0.000271
1 2 -0.4 -0.3 -0.3 -0.2 0.000478 0.000756 0.000887 0.000879 0.000623 0.000486 0.000448 0.000263 0.000930 0.002240 0.005341 0.007903 0.004368 0.001715 0.001059 0.000483 0.001709 0.006742 0.040623 0.107424 0.064171 0.010406 0.002766 0.000802 0.002063 0.011960 0.112551 0.107601 0.131470 0.029862 0.003705 0.000910 0.001078 0.006425 0.041522 0.074290 0.103757 0.023288 0.002229 0.000611 0.000514 0.001428 0.005039 0.028687 0.026027 0.004249 0.000979 0.000387 0.000290 0.000463 0.001294 0.003966 0.003338 0.001534 0.000673 0.000328 0.000179 0.000289 0.000537 0.000856 0.000996 0.000499 0.000344 0.000278
1 3 -0.4 -0.3 -0.2 -0.1 0.000444 0.000726 0.000882 0.000892 0.000657 0.000496 0.000441 0.000281 0.000839 0.002034 0.004964 0.008010 0.004870 0.001882 0.001122 0.000532 0.001524 0.005818 0.033565 0.105465 0.071159 0.012924 0.003195 0.000906 0.001770 0.009365 0.101261 0.110360 0.132478 0.038727 0.004458 0.001004 0.000953 0.005145 0.037538 0.069791 0.105684 0.030818 0.002716 0.000651 0.000467 0.001255 0.004341 0.024631 0.030565 0.004999 0.001124 0.000414 0.000277 0.000432 0.001122 0.003686 0.003579 0.001687 0.000737 0.000350 0.000171 0.000277 0.000504 0.000826 0.001023 0.000544 0.000352 0.000291
1 4 -0.4 -0.3 -0.1 0.0 0.000412 0.000700 0.000890 0.000887 0.000693 0.000496 0.000430 0.000300 0.000759 0.001865 0.004557 0.007965 0.005390 0.002096 0.001191 0.000553 0.001365 0.005027 0.027143 0.101442 0.078499 0.016544 0.003691 0.001010 0.001527 0.007536 0.087280 0.114361 0.131732 0.049851 0.005385 0.001136 0.000841 0.004156 0.033300 0.065579 0.105603 0.039953 0.003322 0.000713 0.000436 0.001111 0.003742 0.020434 0.034758 0.005898 0.001294 0.000436 0.000261 0.000396 0.000987 0.003333 0.003801 0.001831 0.000792 0.000369 0.000161 0.000268 0.000457 0.000784 0.001027 0.000586 0.000357 0.000300
1 5 -0.4 -0.3 0.0 0.1 0.000377 0.000660 0.000875 0.000909 0.000717 0.000516 0.000442 0.000334 0.000695 0.001728 0.004202 0.007821 0.005908 0.002342 0.001244 0.000615 0.001257 0.004405 0.022276 0.095743 0.085062 0.021002 0.004171 0.001135 0.001350 0.006349 0.073961 0.117870 0.129445 0.061918 0.006414 0.001287 0.000753 0.003435 0.028927 0.062083 0.103935 0.049268 0.004002 0.000789 0.000399 0.001003 0.003333 0.016938 0.037680 0.006790 0.001469 0.000470 0.000252 0.000378 0.000884 0.003001 0.003971 0.001986 0.000852 0.000424 0.000154 0.000252 0.000448 0.000760 0.001023 0.000651 0.000358 0.000299
1 6 -0.4 -0.3 0.1 0.2 0.000356 0.000629 0.000870 0.000903 0.000749 0.000523 0.000436 0.000360 0.000651 0.001589 0.003835 0.007508 0.006296 0.002550 0.001284 0.000660 0.001145 0.003784 0.018139 0.088352 0.090882 0.026108 0.004686 0.001272 0.001194 0.005378 0.060161 0.121184 0.126083 0.075441 0.007714 0.001461 0.000690 0.002858 0.024659 0.059278 0.100700 0.060026 0.004935 0.000887 0.000370 0.000906 0.003006 0.013904 0.039759 0.008031 0.001676 0.000514 0.000229 0.000352 0.000791 0.002718 0.004074 0.002161 0.000928 0.000447 0.000155 0.000233 0.000418 0.000728 0.001001 0.000701 0.000373 0.000308
1 7 -0.4 -0.3 0.2 0.3 0.000320 0.000601 0.000854 0.000902 0.000770 0.000528 0.000449 0.000376 0.000596 0.001466 0.003498 0.007145 0.006603 0.002762 0.001331 0.000710 0.001076 0.003287 0.014993 0.079881 0.095865 0.031962 0.005231 0.001441 0.001061 0.004548 0.047556 0.123932 0.121630 0.089277 0.009361 0.001676 0.000626 0.002390 0.020355 0.057317 0.096148 0.070400 0.006139 0.001006 0.000349 0.000817 0.002696 0.011344 0.040918 0.009616 0.001928 0.000564 0.000235 0.000339 0.000734 0.002453 0.004194 0.002334 0.000993 0.000479 0.000154 0.000218 0.000404 0.000704 0.000978 0.000761 0.000378 0.000337
1 8 -0.4 -0.3 0.3 0.4 0.000301 0.000569 0.000847 0.000897 0.000800 0.000542 0.000448 0.000403 0.000551 0.001342 0.003192 0.006806 0.007050 0.003040 0.001378 0.000787 0.000988 0.002825 0.012383 0.071304 0.100991 0.038530 0.005911 0.001643 0.000939 0.003836 0.036208 0.125860 0.116448 0.102773 0.011582 0.001960 0.000573 0.001982 0.016207 0.054850 0.090992 0.080186 0.007878 0.001165 0.000324 0.000736 0.002367 0.009270 0.040062 0.011753 0.002263 0.000632 0.000221 0.000324 0.000670 0.002120 0.004262 0.002518 0.001075 0.000520 0.000158 0.000197 0.000384 0.000667 0.000959 0.000821 0.000402 0.000328
1 9 -0.4 -0.3 0.4 0.5 0.000294 0.000539 0.000837 0.000893 0.000824 0.000545 0.000451 0.000437 0.000524 0.001225 0.002899 0.006432 0.007252 0.003294 0.001432 0.000847 0.000927 0.002483 0.010548 0.063158 0.104117 0.044606 0.006597 0.001863 0.000842 0.003281 0.027726 0.126314 0.112096 0.113387 0.014194 0.002271 0.000527 0.001675 0.012934 0.052497 0.086488 0.088361 0.010032 0.001357 0.000299 0.000657 0.002101 0.007868 0.038688 0.014433 0.002626 0.000696 0.000208 0.000303 0.000598 0.001866 0.004309 0.002718 0.001176 0.000558 0.000144 0.000191 0.000359 0.000633 0.000930 0.000877 0.000414 0.000342
1 10 -0.4 -0.3 0.5 0.6 0.000000 0.000539 0.000807 0.000895 0.000837 0.000575 0.000465 0.000430 0.000000 0.001157 0.002709 0.006196 0.007517 0.003564 0.001486 0.000896 0.000000 0.002245 0.009288 0.057049 0.106214 0.049889 0.007332 0.002059 0.000000 0.002882 0.021404 0.125090 0.109171 0.121269 0.017424 0.002557 0.000000 0.001485 0.010502 0.049889 0.082998 0.093666 0.012593 0.001508 0.000000 0.000623 0.001885 0.006966 0.036662 0.016952 0.002951 0.000740 0.000000 0.000317 0.000554 0.001662 0.004273 0.002856 0.001256 0.000571 0.000000 0.000214 0.000337 0.000589 0.000897 0.000928 0.000427 0.000332
2 -1 -0.3 -0.2 -0.6 -0.5 0.000497 0.000752 0.000778 0.000710 0.000491 0.000398 0.000405 0.000000 0.001119 0.002476 0.004980 0.005248 0.002589 0.001216 0.000775 0.000000 0.002361 0.009332 0.054303 0.090159 0.035794 0.005819 0.001724 0.000000 0.003304 0.026571 0.124292 0.117546 0.110154 0.013768 0.002333 0.000000 0.001839 0.015203 0.062658 0.086826 0.097502 0.010990 0.001464 0.000000 0.000719 0.002514 0.009633 0.048244 0.017566 0.003016 0.000742 0.000000 0.000339 0.000655 0.002094 0.005106 0.003214 0.001272 0.000565 0.000000 0.000200 0.000383 0.000701 0.001053 0.000951 0.000453 0.000379 0.000000
2 0 -0.3 -0.2 -0.5 -0.4 0.000495 0.000731 0.000765 0.000724 0.000518 0.000421 0.000390 0.000220 0.001072 0.002320 0.004878 0.005370 0.002785 0.001258 0.000812 0.000403 0.002138 0.008329 0.049002 0.092785 0.040000 0.006381 0.001898 0.000608 0.002927 0.020783 0.122690 0.114686 0.118435 0.016715 0.002631 0.000742 0.001629 0.012236 0.059961 0.083296 0.102854 0.013886 0.001638 0.000530 0.000687 0.002245 0.008458 0.045550 0.020668 0.003431 0.000809 0.000376 0.000349 0.000601 0.001858 0.005066 0.003374 0.001364 0.000574 0.000271 0.000214 0.000358 0.000658 0.001031 0.000991 0.000480 0.000371 0.000276
