datestart datestop duration tstart tstop label mag_start mag_stop
2003:235:10:30:00.000 2003:236:05:30:00.000 68400.000 178021864.184 178090264.184 "partial mitigation" -2.9 -2.0
2003:236:05:30:00.000 2003:236:13:30:00.000 28800.000 178090264.184 178119064.184 "full mitigation" -5.0 -2.9
2003:236:13:30:00.000 2003:237:05:30:00.000 57600.000 178119064.184 178176664.184 "partial mitigation" -2.9 -2.0
2003:237:05:30:00.000 2003:237:14:30:00.000 32400.000 178176664.184 178209064.184 "full mitigation" -5.0 -2.9
2003:237:14:30:00.000 2003:238:06:30:00.000 57600.000 178209064.184 178266664.184 "partial mitigation" -2.9 -2.0
2003:238:06:30:00.000 2003:238:15:30:00.000 32400.000 178266664.184 178299064.184 "full mitigation" -5.0 -2.9
2003:238:15:30:00.000 2003:239:06:30:00.000 54000.000 178299064.184 178353064.184 "partial mitigation" -2.9 -2.0
2003:239:06:30:00.000 2003:239:15:30:00.000 32400.000 178353064.184 178385464.184 "full mitigation" -5.0 -2.9
2003:239:15:30:00.000 2003:240:07:30:00.000 57600.000 178385464.184 178443064.184 "partial mitigation" -2.9 -2.0
2003:240:07:30:00.000 2003:240:16:30:00.000 32400.000 178443064.184 178475464.184 "full mitigation" -5.0 -2.9
2003:240:16:30:00.000 2003:241:08:30:00.000 57600.000 178475464.184 178533064.184 "partial mitigation" -2.9 -2.0
2003:241:08:30:00.000 2003:241:15:30:00.000 25200.000 178533064.184 178558264.184 "full mitigation" -5.0 -2.9
2003:241:15:30:00.000 2003:242:09:30:00.000 64800.000 178558264.184 178623064.184 "partial mitigation" -2.9 -2.0
2003:242:09:30:00.000 2003:242:15:30:00.000 21600.000 178623064.184 178644664.184 "full mitigation" -5.0 -2.9
2003:242:15:30:00.000 2003:242:16:30:00.000 3600.000 178644664.184 178648264.184 "partial mitigation" -2.9 -2.0
2003:242:16:30:00.000 2003:242:17:30:00.000 3600.000 178648264.184 178651864.184 "full mitigation" -5.0 -2.9
2003:242:17:30:00.000 2003:243:10:30:00.000 61200.000 178651864.184 178713064.184 "partial mitigation" -2.9 -2.0
2003:243:10:30:00.000 2003:243:13:30:00.000 10800.000 178713064.184 178723864.184 "full mitigation" -5.0 -2.9
2003:243:13:30:00.000 2003:244:11:30:00.000 79200.000 178723864.184 178803064.184 "partial mitigation" -2.9 -2.0
2003:244:11:30:00.000 2003:244:13:30:00.000 7200.000 178803064.184 178810264.184 "full mitigation" -5.0 -2.9
2003:244:13:30:00.000 2003:274:17:30:00.000 2606400.000 178810264.184 181416664.184 "partial mitigation" -2.9 -2.0
2003:274:17:30:00.000 2003:274:18:30:00.000 3600.000 181416664.184 181420264.184 "instrument notify" -2.0 0.0
2003:274:18:30:00.000 2003:274:19:30:00.000 3600.000 181420264.184 181423864.184 "partial mitigation" -2.9 -2.0
2003:274:19:30:00.000 2003:274:21:30:00.000 7200.000 181423864.184 181431064.184 "instrument notify" -2.0 0.0
2003:274:21:30:00.000 2003:274:22:30:00.000 3600.000 181431064.184 181434664.184 "partial mitigation" -2.9 -2.0
2003:274:22:30:00.000 2003:275:01:30:00.000 10800.000 181434664.184 181445464.184 "instrument notify" -2.0 0.0
2003:275:01:30:00.000 2003:275:15:30:00.000 50400.000 181445464.184 181495864.184 "partial mitigation" -2.9 -2.0
2003:275:15:30:00.000 2003:276:05:30:00.000 50400.000 181495864.184 181546264.184 "instrument notify" -2.0 0.0
2003:276:05:30:00.000 2003:276:14:30:00.000 32400.000 181546264.184 181578664.184 "partial mitigation" -2.9 -2.0
2003:276:14:30:00.000 2003:277:07:30:00.000 61200.000 181578664.184 181639864.184 "instrument notify" -2.0 0.0
2003:277:07:30:00.000 2003:277:10:30:00.000 10800.000 181639864.184 181650664.184 "partial mitigation" -2.9 -2.0
2003:277:10:30:00.000 2003:351:18:30:00.000 6422400.000 181650664.184 188073064.184 "instrument notify" -2.0 0.0
2003:351:18:30:00.000 2003:351:19:30:00.000 3600.000 188073064.184 188076664.184 "no action" 0.0 40.0
2003:351:19:30:00.000 2003:351:21:30:00.000 7200.000 188076664.184 188083864.184 "instrument notify" -2.0 0.0
2003:351:21:30:00.000 2003:351:22:30:00.000 3600.000 188083864.184 188087464.184 "no action" 0.0 40.0
